Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,57:14:00,9,Raj Singh Wahengbam,Carry,83,42,106,47,,,,,,,,,
Minerva FC,57:16:00,9,Raj Singh Wahengbam,Shot,112,47,117,42,Right,Goal,,,,,,,Bottom right
Minerva FC,57:42:00,9,Raj Singh Wahengbam,Pressure,64,46,0,0,,,,,,,,,
Minerva FC,57:46:00,2,Ngashepam Reoson Singh,Head Pass,31,62,43,79,,Complete,,,,,,,
Minerva FC,57:49:00,8,Ahvas K,Touch,52,75,0,0,,Bad,,,,,,,
Minerva FC,57:52:00,2,Ngashepam Reoson Singh,Offensive Duel,56,65,0,0,,Won,,,,,TRUE,,
Minerva FC,57:55:00,2,Ngashepam Reoson Singh,Offensive Duel,78,73,0,0,,Won,,,,,,,
Minerva FC,58:01:00,2,Ngashepam Reoson Singh,Offensive Duel,96,75,0,0,,Won,,,,,TRUE,,
Minerva FC,59:18:00,4,Sailex Oinam,Pass,36,58,55,52,,Complete,,,,,,,
Minerva FC,59:21:00,50,Thangkhanlam Samte,Air Duel,52,52,0,0,,Lost,,,,,,,
Minerva FC,59:23:00,50,Thangkhanlam Samte,Foul,49,51,0,0,,,,,,,,,
Minerva FC,60:59:00,3,Moosa Ashiq,Free Kick,18,10,72,32,,,,,,,,,
Minerva FC,61:03:00,50,Thangkhanlam Samte,Defensive Duel,68,27,0,0,,Lost,,,,,,,
Minerva FC,61:05:00,9,Raj Singh Wahengbam,Carry,65,27,92,38,,,,,,,,,
Minerva FC,61:08:00,9,Raj Singh Wahengbam,Shot,88,43,119,48,Right,Off Target,,,,,,,
Minerva FC,61:33:00,8,Ahvas K,Corner,117,79,110,47,,,,,,,,,
Minerva FC,61:34:00,50,Thangkhanlam Samte,Shot,95,51,113,47,Right,Blocked,,,,,,,
Minerva FC,61:39:00,22,Paoginmang Baite,Offensive Duel,84,30,0,0,,Won,,,,,TRUE,,
Minerva FC,61:44:00,2,Ngashepam Reoson Singh,Interception,72,54,0,0,,,,,,,,,
Minerva FC,61:46:00,50,Thangkhanlam Samte,Pass,79,39,72,30,,Complete,,,,,,,
Minerva FC,61:49:00,3,Moosa Ashiq,Pass,72,30,90,8,,Complete,,,,,,,
Minerva FC,61:55:00,7,Lairenjam Sanathoi Meitei,Offensive Duel,89,7,0,0,,Won,,,,,TRUE,,
Minerva FC,61:56:00,7,Lairenjam Sanathoi Meitei,Carry,90,4,113,10,,,,,,,,,
Minerva FC,62:13:00,3,Moosa Ashiq,Head Pass,69,8,86,8,,Complete,,,,,,,
Minerva FC,62:17:00,22,Paoginmang Baite,Touch,83,10,0,0,,Bad,,,,,,,
Minerva FC,62:21:00,3,Moosa Ashiq,Pass,32,30,38,48,,Incomplete,,,,,,,
Minerva FC,62:29:00,2,Ngashepam Reoson Singh,Offensive Duel,33,64,0,0,,Won,,,,,,,
Minerva FC,62:31:00,2,Ngashepam Reoson Singh,Pass,26,70,37,60,,,,,,,,,
