Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,35:58,50,Thangkhanlam Samte,Defensive Duel,70.0,75.0,0,0,,Lost,,,,,True,,
Minerva FC,36:02,4,Sailex Oinam ,Defensive Duel,41.0,75.0,0,0,,Won,,,,,True,,
Minerva FC,36:03,4,Sailex Oinam ,Pass,42.0,78.0,51,76,,Complete,,,,,,,
Minerva FC,36:05,50,Thangkhanlam Samte,LBD,51.0,76.0,0,0,,Lost,,,,,,,
Minerva FC,36:06,50,Thangkhanlam Samte,Foul,52.0,78.0,0,0,,,,,,,,,
Minerva FC,36:55,1,Khwairakpam Yoihenba,Save,2.0,40.0,0,0,Middle,Saved,,,,,,,Top
Minerva FC,37:00,1,Khwairakpam Yoihenba,Hand Pass,18.0,39.0,8,23,,Complete,,,,,,,
Minerva FC,37:07,5,Rokash Atom,Pass,37.0,10.0,78,17,,Complete,,,,,,,
Minerva FC,37:09,9,Raj Singh Wahengbam ,Offensive Duel,77.0,15.0,0,0,,Lost,,,,,,,
Minerva FC,37:14,50,Thangkhanlam Samte,Interception,65.0,26.0,0,0,,,,,,,,,
Minerva FC,37:17,3,Moosa Ashiq,Long Kick,44.0,20.0,87,72,,Complete,,,,,,,
Minerva FC,37:20,11,Khangembem Gibash Meitei,Carry,84.0,70.0,94,54,,,,,,,,,
Minerva FC,37:26,11,Khangembem Gibash Meitei,Offensive Duel,93.0,57.0,0,0,,Won,,,,,True,,
Minerva FC,37:29,11,Khangembem Gibash Meitei,Shot,96.0,41.0,103,41,Left,Blocked,,,,,,,
Minerva FC,37:31,7,Lairenjam Sanathoi Meitei,Shot,97.0,32.0,119,35,Right,Off Target,,,,,,,
Minerva FC,37:51,5,Rokash Atom,Defensive Duel,90.0,13.0,0,0,,Won,,,,,True,,
Minerva FC,38:17,5,Rokash Atom,Throw In,39.0,1.0,78,5,,,,,,,,,
Minerva FC,38:35,22,Paoginmang Baite,Defensive Duel,43.0,13.0,0,0,,Won,,,,,True,,
Minerva FC,38:35,50,Thangkhanlam Samte,Defensive Duel,43.0,11.0,0,0,,Won,,,,,,,
Minerva FC,38:38,22,Paoginmang Baite,Pass,42.0,16.0,19,15,,Complete,,,,,,,
Minerva FC,38:42,4,Sailex Oinam ,Pass,21.0,13.0,19,52,,Complete,,,,,,,
Minerva FC,38:44,4,Sailex Oinam ,Carry,16.0,46.0,35,63,,,,,,,,,
Minerva FC,38:48,4,Sailex Oinam ,Long Kick,34.0,58.0,70,75,,Complete,,,,,,,
Minerva FC,38:52,11,Khangembem Gibash Meitei,Carry,66.0,72.0,80,59,,,,,,,,,
