Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,39:18,10,Hibberd,Pressure,77,21,0,0,,,,,,,,,,
Andover New Street,39:21,3,Quashie,LBD,18,10,0,0,,,,,,,,,,
Andover New Street,39:44,3,Quashie,Throw In,12,1,6,13,,Complete,,,,,,,,
Andover New Street,39:46,5,Scott,Pass,7,14,8,2,,Incomplete,,,,,,,,
Andover New Street,40:15,3,Quashie,Head Pass,5,22,2,11,,,,,,true,,,,
Andover New Street,40:10,3,Quashie,Interception,4,24,0,0,,,,,,,,,,
Andover New Street,40:34,8,Williams,Air Duel,9,39,0,0,,Won,,,,,,,,
Andover New Street,41:09,1,Fredricks,Goal Kick,5,43,69,64,,,,,,,,,,
Andover New Street,41:14,6,Thatcher,Long Kick,53,56,79,35,,Incomplete,,,,,,,,
Andover New Street,41:16,7,Locker,Air Duel,70,33,0,0,,Lost,,,,,,,,
Andover New Street,41:19,8,Williams,LBD,79,32,0,0,,,,,,,,,,
Andover New Street,41:22,3,Quashie,Head Pass,65,17,87,13,,Incomplete,,,,,,,,
Andover New Street,41:27,6,Thatcher,Air Duel,55,18,0,0,,Lost,,,,,,,,
Andover New Street,41:45,11,Taylor Kelly,Head Pass,34,66,54,56,,Incomplete,,,,,,,,
Andover New Street,42:23,1,Fredricks,Goal Kick,4,40,67,2,,,,,,,,,,
Andover New Street,42:33,5,Scott,Touch,12,21,0,0,,Bad,,,,,,,,
Andover New Street,43:30,1,Fredricks,Goal Kick,5,37,76,33,,,,,,,,,,
Andover New Street,43:36,6,Thatcher,Offensive Duel,64,21,0,0,,Won,,,,,,,,
Andover New Street,43:46,6,Thatcher,Defensive Duel,17,21,0,0,,,,,,,,,,
Andover New Street,43:48,5,Scott,LBD,12,15,0,0,,,,,,,,,,
Andover New Street,43:50,3,Quashie,Pass,10,23,22,10,,Complete,,,,,,,,
Andover New Street,43:52,5,Scott,Pass,25,16,45,19,,Incomplete,,,,,,,,
Andover New Street,43:59,4,Carswell,Pass,18,35,23,27,,Incomplete,,,,,,,,
Andover New Street,44:29,1,Fredricks,Goal Kick,7,36,73,11,,,,,,,,,,
Andover New Street,44:30,10,Hibberd,Air Duel,70,12,0,0,,Won,,,,,,,,
Andover New Street,44:47,11,Taylor Kelly,Pressure,63,66,0,0,,,,,,,,,,
Andover New Street,44:51,2,Kaba,Long Kick,33,62,58,73,,Complete,,,,,,,,
Andover New Street,44:54,11,Taylor Kelly,Touch,54,74,0,0,,Bad,,,,,,,,
Andover New Street,44:58,2,Kaba,Defensive Duel,35,63,0,0,,,,,,,,,,
Andover New Street,45:06,4,Carswell,Long Kick,11,61,48,59,,Complete,,,,,,,,
Andover New Street,45:09,9,Moore,LBD,53,63,0,0,,,,,,,,,,
Andover New Street,45:14,10,Hibberd,Pressure,47,65,0,0,,,,,,,,,,
Andover New Street,45:16,2,Kaba,Interception,30,49,0,0,,,,,,,,,,
Andover New Street,45:19,1,Fredricks,Save,5,39,0,0,Middle,Saved,,,,,,,57,55
Andover New Street,45:35,1,Fredricks,Long Kick,17,51,73,68,,Incomplete,,,,,,,,
Andover New Street,45:47,11,Taylor Kelly,Throw In,70,78,68,69,,Complete,,,,,,,,
Andover New Street,45:48,10,Hibberd,Pass,68,68,74,77,,Complete,,,,,,,,
Andover New Street,45:50,11,Taylor Kelly,Pass,73,76,69,68,,Complete,,,,,,,,
Andover New Street,45:50,10,Hibberd,Offensive Duel,69,70,0,0,,Won,,,,,,,,
Andover New Street,45:55,5,Scott,Pass,46,52,58,37,,Complete,,,,,,,,
Andover New Street,45:55,5,Scott,Interception,48,55,0,0,,,,,,,,,,
Andover New Street,45:57,7,Locker,Pass,55,37,78,46,,Complete,,,,,,,,
Andover New Street,45:59,9,Moore,Pass,71,43,88,41,,Incomplete,,,true,,,,,
Andover New Street,46:06,7,Locker,Pressure,82,21,0,0,,,,,,,,,,
Andover New Street,46:10,9,Moore,Pressure,77,25,0,0,,,,,,,,,,
Andover New Street,46:23,2,Kaba,Defensive Duel,48,56,0,0,,,,,,,,,,
Andover New Street,46:42,4,Carswell,Air Duel,11,36,0,0,,Won,,,,true,,,,
Andover New Street,46:59,3,Quashie,Defensive Duel,29,15,0,0,,,,,,,,,,
Andover New Street,47:00,9,Moore,LBD,27,12,0,0,,,,,,,,,,
Andover New Street,47:24,3,Quashie,Throw In,31,2,66,6,,Incomplete,,,,,,,,
Andover New Street,47:28,8,Williams,LBD,77,6,0,0,,,,,,,,,,
Andover New Street,47:33,10,Hibberd,Throw In,83,1,102,16,,Incomplete,,,,,,,,
Andover New Street,47:58,7,Locker,Throw In,104,1,112,15,,Complete,,,,,,,,
Andover New Street,48:01,10,Hibberd,Pass,115,15,110,5,,Complete,,,,,,,,
Andover New Street,48:03,7,Locker,Cross,109,7,111,31,Left,,,,,,,,,
Andover New Street,48:11,2,Kaba,Defensive Duel,72,58,0,0,,,,,,,,,,
Andover New Street,48:20,1,Fredricks,Interception,11,61,0,0,,,,,,,,,,
Andover New Street,64:49,5,Scott,Head Pass,36,34,51,17,,Incomplete,,,,,,,,
Andover New Street,64:55,7,Locker,Head Pass,37,15,49,26,,Complete,,,,,,,,
Andover New Street,64:57,8,Williams,Air Duel,47,30,0,0,,Lost,,,,,,,,
Andover New Street,65:00,5,Scott,Pass,34,34,44,26,,Incomplete,,,,,,,,
Andover New Street,65:01,6,Thatcher,Air Duel,37,26,0,0,,Lost,,,,,,,,
Andover New Street,65:02,4,Carswell,Head Pass,36,39,50,24,,Complete,,,,,,,,
Andover New Street,65:04,8,Williams,Air Duel,48,23,0,0,,Won,,,,,,,,
Andover New Street,65:06,7,Locker,Pass,38,14,48,14,,Incomplete,,,,,,,,
Andover New Street,65:33,3,Quashie,Throw In,39,1,73,9,,Incomplete,,,,,,,,
Andover New Street,65:36,4,Carswell,Defensive Duel,49,14,0,0,,,,,,,,,,
Andover New Street,65:38,10,Hibberd,Offensive Duel,52,8,0,0,,,,,,,,,,
Andover New Street,65:39,10,Hibberd,Pass,55,7,39,9,,Complete,,,,,,,,
Andover New Street,65:40,3,Quashie,Long Kick,44,8,82,14,,,,,,,,,,
Andover New Street,65:46,5,Scott,Pass,45,36,63,41,,Incomplete,,,,,,,,
Andover New Street,65:48,2,Kaba,Air Duel,55,51,0,0,,Won,,,,,,,,
Andover New Street,65:51,8,Williams,Pass,67,48,79,48,,Incomplete,,,,,,,,
Andover New Street,65:55,15,.,Defensive Duel,44,51,0,0,,,,,,,,,,
Andover New Street,65:57,6,Thatcher,Offensive Duel,49,55,0,0,,,,,,,,,,
Andover New Street,65:58,6,Thatcher,Pass,54,57,72,64,,Complete,,,,,,,,
Andover New Street,66:00,10,Hibberd,Pass,74,67,89,66,,Incomplete,,,,,,,,
Andover New Street,66:04,10,Hibberd,Carry,80,77,84,64,,Complete,,,,,,,,
Andover New Street,66:06,10,Hibberd,Long Kick,85,63,95,28,,Incomplete,,,,,,,,
Andover New Street,66:15,3,Quashie,Defensive Duel,49,14,0,0,,,,,,,,,,
Andover New Street,66:18,10,Hibberd,Long Kick,46,41,97,68,,Complete,,,,,,,,
Andover New Street,66:23,8,Williams,Carry,105,70,107,52,,Complete,,,,,,,,
Andover New Street,66:27,8,Williams,Shot,105,54,120,16,Left,Off Target,,,,,,,2,77
Andover New Street,66:55,5,Scott,Long Kick,34,5,71,13,,Complete,,,,,,,,
Andover New Street,66:59,9,Moore,Offensive Duel,69,13,0,0,,Lost,,,,,true,,,
Andover New Street,67:01,10,Hibberd,Offensive Duel,76,22,0,0,,,,,,,,,,
Andover New Street,67:02,10,Hibberd,Pass,76,24,59,17,,Complete,,,,,,,,
Andover New Street,67:03,4,Carswell,Long Kick,59,28,87,41,,Incomplete,,,,,,,,
Andover New Street,67:06,6,Thatcher,Offensive Duel,72,40,0,0,,Won,,,,,true,,,
Andover New Street,67:10,6,Thatcher,Pass,91,43,106,46,,Incomplete,,,true,,,,,
Andover New Street,67:18,15,.,Head Pass,47,32,40,50,,Complete,,,,,,,,
Andover New Street,67:21,2,Kaba,Long Kick,40,55,80,48,,Incomplete,,,,,,,,
Andover New Street,68:05,1,Fredricks,Goal Kick,5,47,78,58,,,,,,,,,,
Andover New Street,68:15,4,Carswell,Offensive Duel,53,36,0,0,,Won,,,,,,,,
Andover New Street,68:19,4,Carswell,Pass,66,50,87,70,,Complete,,,,,,,,
Andover New Street,68:23,8,Williams,Pass,90,72,98,54,,Complete,,,,,,,,
Andover New Street,68:27,4,Carswell,Pass,94,58,102,51,,Incomplete,,,true,,,,,
Andover New Street,68:38,3,Quashie,Offensive Duel,42,17,0,0,,Won,,,,,true,,,
Andover New Street,68:40,3,Quashie,Pass,50,24,56,8,,Complete,,,,,,,,
Andover New Street,68:43,7,Locker,Long Kick,54,10,90,40,,Incomplete,,,true,,,,,
Andover New Street,68:51,8,Williams,Pressure,88,62,0,0,,,,,,,,,,
Andover New Street,69:10,15,.,Throw In,76,79,89,67,,Complete,,,,,,,,
Andover New Street,69:13,2,Kaba,Air Duel,87,69,0,0,,Lost,,,,,,,,
Andover New Street,69:13,6,Thatcher,Air Duel,78,60,0,0,,Lost,,,,,,,,
Andover New Street,69:15,15,.,Pass,73,72,78,65,,Incomplete,,,,,,,,
Andover New Street,69:17,6,Thatcher,Pass,79,69,86,63,,Complete,,,,,,,,
Andover New Street,69:18,2,Kaba,Carry,82,69,92,53,,Complete,,,,,,,,
Andover New Street,69:21,2,Kaba,Offensive Duel,93,56,0,0,,Won,,,,,true,,,
Andover New Street,69:23,2,Kaba,Shot,93,47,102,43,Left,Blocked,,,,,,,,
Andover New Street,69:27,9,Moore,Offensive Duel,106,18,0,0,,,,,,,,,,
Andover New Street,69:30,9,Moore,Shot,101,20,118,35,Right,Off Target,,,,,,,7,74
Andover New Street,69:50,15,.,Defensive Duel,54,61,0,0,,,,,,,,,,
Andover New Street,69:54,8,Williams,Touch,67,64,0,0,,Bad,,,,,,,,
Andover New Street,70:06,3,Quashie,Interception,29,54,0,0,,,,,,,,,,
Andover New Street,70:07,15,.,Touch,23,53,0,0,,Bad,,,,,,,,
Andover New Street,70:10,15,.,Defensive Duel,21,48,0,0,,,,,,,,,,
Andover New Street,70:11,15,.,Long Kick,23,50,61,39,,Incomplete,,,,,,,,
Andover New Street,70:22,10,Hibberd,Interception,36,6,0,0,,,,,,,,,,
Andover New Street,63:30,11,Taylor Kelly,Subbed Out,57,78,0,0,,,,,,,,,,
Andover New Street,70:18,3,Quashie,Pressure,39,27,0,0,,,,,,,,,,
Andover New Street,70:40,3,Quashie,Offensive Duel,21,12,0,0,,Lost,,,,,true,,,
Andover New Street,70:43,9,Moore,Pass,15,24,42,19,,Complete,,,,,,,,
Andover New Street,70:45,10,Hibberd,Pass,39,16,40,29,,Complete,,,,,,,,
Andover New Street,70:46,8,Williams,Carry,38,26,46,4,,Complete,,,,,,,,
Andover New Street,70:49,8,Williams,Pass,42,4,76,9,,Incomplete,,,,,,,,
Andover New Street,71:10,1,Fredricks,Long Kick,15,35,78,16,,Incomplete,,,,,,,,
Andover New Street,71:18,8,Williams,Defensive Duel,76,11,0,0,,,,,,,,,,
Andover New Street,71:32,3,Quashie,Air Duel,42,9,0,0,,Won,,,,,,,,
Andover New Street,71:38,5,Scott,Long Kick,33,14,43,1,,,,,,true,,,,
Andover New Street,71:38,5,Scott,Interception,36,13,0,0,,,,,,,,,,
Andover New Street,71:49,3,Quashie,LBD,27,7,0,0,,,,,,,,,,
Andover New Street,72:13,1,Fredricks,Goal Kick,6,49,73,70,,,,,,,,,,
Andover New Street,72:19,9,Moore,Pressure,102,45,0,0,,,,,,,,,,
Andover New Street,72:23,6,Thatcher,Defensive Duel,64,54,0,0,,,,,,,,,,
Andover New Street,72:25,2,Kaba,Pass,66,63,67,52,,Complete,,,,,,,,
Andover New Street,72:26,6,Thatcher,Pass,64,53,82,53,,Complete,,,,,,,,
Andover New Street,72:27,8,Williams,Carry,77,58,90,40,,Complete,,,,,,,,
Andover New Street,72:31,8,Williams,Pass,91,39,106,24,,Incomplete,,,true,,,,,
Andover New Street,72:56,10,Hibberd,Corner,117,2,113,41,,,,,,,,,,
Andover New Street,73:03,4,Carswell,Defensive Duel,73,26,0,0,,,,,,,,,,
Andover New Street,73:08,4,Carswell,Foul,76,23,0,0,,,,,,,,,,
Andover New Street,73:18,3,Quashie,Interception,43,14,0,0,,,,,,,,,,
Andover New Street,73:22,3,Quashie,Pass,48,4,55,15,,Complete,,,,,,,,
Andover New Street,73:25,10,Hibberd,Pass,55,16,36,23,,Complete,,,,,,,,
Andover New Street,73:28,5,Scott,Offensive Duel,43,16,0,0,,Won,,,,,true,,,
Andover New Street,73:32,5,Scott,Pass,53,17,47,5,,Complete,,,,,,,,
Andover New Street,73:33,3,Quashie,Pass,48,4,68,7,,Complete,,,,,,,,
Andover New Street,73:39,1,Fredricks,Interception,18,25,0,0,,,,,,,,,,
Andover New Street,74:18,1,Fredricks,Pass,17,32,32,63,,Complete,,,,,,,,
Andover New Street,74:20,15,.,Carry,35,62,65,72,,Complete,,,,,,,,
Andover New Street,74:27,15,.,Long Kick,67,72,95,77,,Complete,,,,,,,,
Andover New Street,74:32,8,Williams,Pass,102,75,95,51,,Complete,,,,,,,,
Andover New Street,74:35,9,Moore,Offensive Duel,95,53,0,0,,,,,,,,,,
Andover New Street,74:36,9,Moore,Pass,95,59,108,57,,Complete,true,,true,,,,,
Andover New Street,74:38,8,Williams,Shot,109,54,118,46,Right,Off Target,,,,,,,114,17
Andover New Street,75:05,2,Kaba,Air Duel,50,71,0,0,,Lost,,,,,,,,
Andover New Street,75:07,2,Kaba,Long Kick,53,75,92,61,,Complete,,,,,,,,
Andover New Street,75:14,9,Moore,Offensive Duel,91,60,0,0,,,,,,,,,,
Andover New Street,75:16,9,Moore,Pass,93,64,95,38,,Complete,,,,,,,,
Andover New Street,75:19,10,Hibberd,Offensive Duel,94,40,0,0,,,,,,,,,,
Andover New Street,75:21,10,Hibberd,Pass,89,38,77,29,,Complete,,,,,,,,
Andover New Street,75:23,7,Locker,Touch,81,33,0,0,,Bad,,,,,,,,
Andover New Street,75:25,6,Thatcher,Defensive Duel,83,43,0,0,,,,,,,,,,
Andover New Street,75:28,4,Carswell,Carry,88,35,104,26,,,,,,,,,,
Andover New Street,75:29,4,Carswell,Shot,103,27,119,39,Left,Saved,,,,,,,49,21
Andover New Street,75:57,7,Locker,Corner,117,78,113,55,,,,,,,,,,
Andover New Street,76:00,8,Williams,Pass,112,56,107,68,,Complete,,,,,,,,
Andover New Street,76:00,7,Locker,Cross,106,69,111,31,Left,,,,,,,,,
Andover New Street,76:02,9,Moore,Air Duel,110,33,0,0,,Lost,,,,,,,,
Andover New Street,76:35,10,Hibberd,Corner,116,2,111,47,,,true,,,,,,,
Andover New Street,76:35,15,.,Air Duel,111,47,0,0,,Won,,,,,,,,
Andover New Street,76:36,15,.,Shot,110,45,118,46,Header,Off Target,,,,,,,115,75
Andover New Street,77:04,2,Kaba,Offensive Duel,24,59,0,0,,,,,,,,,,
Andover New Street,77:09,2,Kaba,Pass,38,48,49,24,,Complete,,,,,,,,
Andover New Street,77:11,7,Locker,Offensive Duel,48,29,0,0,,,,,,,,,,
Andover New Street,77:16,7,Locker,Pass,44,23,74,14,,Incomplete,,,,,,,,
Andover New Street,77:15,7,Locker,Interception,47,22,0,0,,,,,,,,,,
Andover New Street,77:36,3,Quashie,Throw In,68,2,107,9,,Complete,,,,,,,,
Andover New Street,77:39,10,Hibberd,Offensive Duel,101,9,0,0,,,,,,,,,,
Andover New Street,77:42,10,Hibberd,Pass,103,8,81,4,,Complete,,,,,,,,
Andover New Street,77:44,3,Quashie,Pass,79,4,88,15,,Complete,,,,,,,,
Andover New Street,77:46,7,Locker,Pass,86,10,72,23,,Complete,,,,,,,,
Andover New Street,77:49,4,Carswell,Long Kick,78,30,110,67,,Complete,,,,,,,,
Andover New Street,77:54,2,Kaba,Pass,112,67,96,60,,Incomplete,,,,,,,,
Andover New Street,77:57,6,Thatcher,Pressure,92,62,0,0,,,,,,,,,,
Andover New Street,78:17,15,.,Throw In,86,79,109,70,,Complete,,,,,,,,
Andover New Street,78:20,10,Hibberd,Offensive Duel,106,68,0,0,,,,,,,,,,
Andover New Street,78:21,10,Hibberd,Cross,112,67,105,36,Right,,true,,,,,,,
Andover New Street,78:25,9,Moore,Touch,107,38,0,0,,Bad,,,,,,,,
Andover New Street,78:34,15,.,Pass,35,51,48,54,,Complete,,,,,,,,
Andover New Street,78:36,2,Kaba,Pass,51,57,79,40,,Complete,,,,,,,,
Andover New Street,78:39,8,Williams,Touch,83,41,0,0,,Bad,,,,,,,,
Andover New Street,78:44,3,Quashie,Pass,36,16,47,15,,Complete,,,,,,,,
Andover New Street,78:49,7,Locker,Pass,49,7,34,12,,Complete,,,,,,,,
Andover New Street,78:51,3,Quashie,Long Kick,38,11,78,20,,Incomplete,,,,,,,,
Andover New Street,78:53,8,Williams,Interception,75,18,0,0,,,,,,,,,,
Andover New Street,78:56,6,Thatcher,LBD,69,23,0,0,,,,,,,,,,
Andover New Street,79:01,3,Quashie,Air Duel,39,22,0,0,,Won,,,,,,,,
Andover New Street,79:03,4,Carswell,Defensive Duel,43,27,0,0,,,,,,,,,,
Andover New Street,79:06,5,Scott,Interception,34,36,0,0,,,,,,,,,,
Andover New Street,79:09,3,Quashie,Defensive Duel,24,29,0,0,,,,,,,,,,
Andover New Street,79:19,2,Kaba,Interception,8,48,0,0,,,,,,,,,,
Andover New Street,79:21,2,Kaba,Long Kick,8,50,1,52,,,,,,true,,,,
Andover New Street,79:47,1,Fredricks,Air Duel,6,42,0,0,,Won,,,,,,,,
Andover New Street,79:48,1,Fredricks,Save,5,41,0,0,Middle,Saved,,,,,,,36,73
Andover New Street,80:11,1,Fredricks,Long Kick,16,48,67,57,,Complete,,,,,,,,
Andover New Street,80:13,10,Hibberd,Pass,68,58,82,50,,Complete,,,,,,,,
Andover New Street,80:16,8,Williams,Carry,83,54,113,58,,Complete,,,,,,,,
Andover New Street,80:21,8,Williams,Pass,112,56,101,38,,Complete,,,,,,,,
Andover New Street,80:23,9,Moore,LBD,101,39,0,0,,,,,,,,,,
Andover New Street,80:29,3,Quashie,Pressure,72,7,0,0,,,,,,,,,,
Andover New Street,80:34,5,Scott,Air Duel,50,16,0,0,,Lost,,,,,,,,
Andover New Street,80:36,5,Scott,Foul,51,18,0,0,,,,,,,,,,
Andover New Street,81:07,15,.,Air Duel,17,53,0,0,,Won,,,,true,,,,
Andover New Street,82:45,1,Fredricks,Goal Kick,6,37,78,35,,,,,,,,,,
Andover New Street,82:52,10,Hibberd,Defensive Duel,68,31,0,0,,,,,,,,,,
Andover New Street,82:25,9,Moore,Subbed Out,61,79,0,0,,,,,,,,,,
Andover New Street,83:26,1,Fredricks,Free Kick,20,8,77,10,,,,,,,,,,
Andover New Street,83:35,5,Scott,Head Pass,33,23,42,3,,Complete,,,,,,,,
Andover New Street,83:38,3,Quashie,Pass,40,3,30,13,,Complete,,,,,,,,
Andover New Street,83:39,5,Scott,Long Kick,34,14,78,21,,Complete,,,,,,,,
Andover New Street,83:42,21,..,Air Duel,81,23,0,0,,Lost,,,,,,,,
Andover New Street,83:44,10,Hibberd,Carry,69,9,87,12,,Complete,,,,,,,,
Andover New Street,83:48,10,Hibberd,Pass,83,10,105,15,,Complete,,,,,,,,
Andover New Street,83:50,7,Locker,Cross,105,12,107,16,Left,Blocked,,,,,,,,
Andover New Street,84:11,8,Williams,Pressure,92,68,0,0,,,,,,,,,,
Andover New Street,84:19,2,Kaba,Long Kick,17,73,51,68,,Complete,,,,,,,,
Andover New Street,84:21,8,Williams,Head Pass,52,69,74,69,,Complete,,,,,,,,
Andover New Street,84:23,21,..,Touch,74,68,0,0,,Bad,,,,,,,,
Andover New Street,85:09,1,Fredricks,Goal Kick,5,48,79,69,,,,,,,,,,
Andover New Street,85:14,2,Kaba,Air Duel,76,64,0,0,,Lost,,,,,,,,
Andover New Street,85:18,4,Carswell,Head Pass,44,48,55,49,,Incomplete,,,,,,,,
Andover New Street,85:22,5,Scott,Carry,24,50,9,59,,,,,,,,,,
Andover New Street,85:24,5,Scott,Long Kick,13,58,18,79,,,,,,true,,,,
Andover New Street,85:45,15,.,Air Duel,10,53,0,0,,Won,,,,,,,,
Andover New Street,85:47,4,Carswell,Pass,13,49,32,34,,,,,,true,,,,
Andover New Street,85:51,3,Quashie,Interception,27,25,0,0,,,,,,,,,,
Andover New Street,86:20,1,Fredricks,Interception,8,40,0,0,,,,,,,,,,
Andover New Street,86:22,5,Scott,Long Kick,6,39,32,44,,,,,,true,,,,
Andover New Street,86:28,10,Hibberd,Pressure,28,7,0,0,,,,,,,,,,
Andover New Street,86:30,7,Locker,Long Kick,17,25,77,32,,Incomplete,,,true,,,,,
Andover New Street,86:36,10,Hibberd,Pass,46,5,75,7,,Incomplete,,,,,,,,
Andover New Street,86:39,8,Williams,Carry,57,16,55,39,,Complete,,,,,,,,
Andover New Street,86:42,8,Williams,Pass,55,37,75,59,,Complete,,,,,,,,
Andover New Street,86:44,2,Kaba,Carry,69,59,86,50,,,,,,,,,,
Andover New Street,86:52,4,Carswell,Cross,94,59,113,38,Right,Bad,,,,,,,,
Andover New Street,87:01,5,Scott,Air Duel,53,42,0,0,,Won,,,,,,,,
Andover New Street,87:03,6,Thatcher,Long Kick,42,55,80,36,,Complete,,,,,,,,
Andover New Street,87:06,21,..,Air Duel,84,41,0,0,,Won,,,,,,,,
Andover New Street,87:07,21,..,Offside,85,39,0,0,,,,,,,,,,
Andover New Street,88:14,15,.,Air Duel,11,36,0,0,,Won,,,,true,,,,
Andover New Street,88:17,8,Williams,Long Kick,25,38,63,79,,,,,,true,,,,
Andover New Street,89:07,15,.,Pass,29,59,48,64,,Incomplete,,,,,,,,
Andover New Street,89:10,21,..,Pass,56,62,43,68,,Complete,,,,,,,,
Andover New Street,89:11,8,Williams,Offensive Duel,48,64,0,0,,Won,,,,,,,,
Andover New Street,89:14,6,Thatcher,LBD,53,55,0,0,,,,,,,,,,
Andover New Street,89:16,6,Thatcher,Pass,71,59,84,31,,Incomplete,,,,,,,,
Andover New Street,89:21,10,Hibberd,Pressure,102,30,0,0,,,,,,,,,,
Andover New Street,89:25,2,Kaba,Air Duel,70,66,0,0,,Won,,,,,,,,
Andover New Street,89:28,2,Kaba,Pass,72,73,80,64,,Incomplete,,,,,,,,
Andover New Street,89:33,5,Scott,Air Duel,37,45,0,0,,Won,,,,,,,,
Andover New Street,89:48,1,Fredricks,Long Kick,16,52,80,34,,Incomplete,,,,,,,,
Andover New Street,90:03,15,.,Defensive Duel,40,52,0,0,,,,,,,,,,
Andover New Street,90:08,3,Quashie,Pressure,49,22,0,0,,,,,,,,,,
Andover New Street,90:11,5,Scott,Defensive Duel,15,32,0,0,,,,,,,,,,
Andover New Street,90:50,1,Fredricks,Goal Kick,4,47,69,58,,,,,,,,,,
Andover New Street,90:53,10,Hibberd,Air Duel,72,58,0,0,,Won,,,,,,,,
Andover New Street,91:03,8,Williams,Pressure,103,64,0,0,,,,,,,,,,
Andover New Street,91:07,7,Locker,Air Duel,54,33,0,0,,Won,,,,,,,,
Andover New Street,91:14,1,Fredricks,Interception,18,31,0,0,,,,,,,,,,
Andover New Street,91:25,1,Fredricks,Long Kick,19,22,72,8,,,,,,,,,,
Andover New Street,91:28,10,Hibberd,Air Duel,77,11,0,0,,,,,,,,,,
Andover New Street,91:33,21,..,Defensive Duel,104,10,0,0,,,,,,,,,,
Andover New Street,91:53,4,Carswell,LBD,52,28,0,0,,,,,,,,,,
Andover New Street,92:00,4,Carswell,Offensive Duel,85,34,0,0,,,,,,,,,,
Andover New Street,91:54,4,Carswell,Carry,57,29,86,36,,,,,,,,,,
Andover New Street,92:02,4,Carswell,Offensive Duel,90,52,0,0,,,,,,,,,,
Andover New Street,92:04,4,Carswell,Offensive Duel,97,56,0,0,,,,,,,,,,
Andover New Street,92:05,4,Carswell,Shot,104,55,118,32,Right,Off Target,,,,,,,4,74
Andover New Street,92:37,6,Thatcher,Defensive Duel,68,62,0,0,,,,,,,,,,
Andover New Street,92:40,8,Williams,Pass,82,54,96,50,,Complete,,,,,,,,
Andover New Street,92:41,21,..,Pass,96,53,97,38,,Complete,true,,,,,,,
Andover New Street,92:43,8,Williams,Shot,102,36,117,43,Left,Saved,,,,,,,104,74
Andover New Street,93:01,6,Thatcher,Defensive Duel,68,55,0,0,,,,,,,,,,
Andover New Street,93:07,3,Quashie,Carry,29,45,17,57,,Complete,,,,,,,,
Andover New Street,93:08,3,Quashie,Pass,17,56,39,70,,Complete,,,,,,,,
Andover New Street,93:11,2,Kaba,Offensive Duel,41,67,0,0,,Lost,,,,,true,,,
Andover New Street,93:15,2,Kaba,Defensive Duel,48,64,0,0,,,,,,,,,,
Andover New Street,93:18,2,Kaba,Defensive Duel,45,68,0,0,,Lost,,,,,true,,,
Andover New Street,93:23,4,Carswell,Interception,27,55,0,0,,,,,,,,,,
Andover New Street,93:25,15,.,Long Kick,19,54,51,48,,Incomplete,,,,,,,,
Andover New Street,93:54,1,Fredricks,Long Kick,16,37,78,3,,Incomplete,,,,,,,,
Andover New Street,94:09,6,Thatcher,Pass,36,37,72,20,,Complete,,,,,,,,
Andover New Street,94:12,21,..,Pass,68,31,77,27,,Incomplete,,,,,,,,
Andover New Street,94:24,3,Quashie,Head Pass,33,15,16,42,,Complete,,,,,,,,
Andover New Street,94:42,1,Fredricks,Long Kick,17,44,77,30,,Incomplete,,,,,,,,
Andover New Street,94:44,15,.,Pass,35,53,74,52,,Complete,,,,,,,,
Andover New Street,94:47,8,Williams,Pass,71,51,87,46,,Incomplete,,,,,,,,
Andover New Street,94:59,6,Thatcher,Defensive Duel,36,60,0,0,,Lost,,,,,true,,,
Andover New Street,95:05,1,Fredricks,Save,6,42,0,0,Middle,Saved,,,,,,,41,71
Andover New Street,95:08,5,Scott,Pass,5,46,27,69,,Complete,,,,,,,,
Andover New Street,95:11,2,Kaba,Pass,24,61,7,68,,Complete,,,,,,,,
Andover New Street,95:13,5,Scott,Pass,8,71,20,73,,Incomplete,,,,,,,,
Andover New Street,96:07,15,.,Throw In,14,78,33,73,,Complete,,,,,,,,
Andover New Street,96:09,2,Kaba,Air Duel,30,73,0,0,,Won,,,,,,,,
Andover New Street,96:11,4,Carswell,Long Kick,23,70,69,35,,Incomplete,,,,,,,,
Andover New Street,96:11,4,Carswell,Interception,30,68,0,0,,,,,,,,,,
Andover New Street,96:21,8,Williams,Pressure,88,27,0,0,,,,,,,,,,
Andover New Street,96:28,3,Quashie,Air Duel,53,31,0,0,,Won,,,,,,,,
Andover New Street,96:29,10,Hibberd,Carry,62,35,79,57,,,,,,,,,,
Andover New Street,96:34,10,Hibberd,Offensive Duel,79,54,0,0,,,,,,,,,,
Andover New Street,97:11,15,.,Free Kick,73,59,99,50,,,,,,,,,,
Andover New Street,97:15,2,Kaba,LBD,112,53,0,0,,,,,,,,,,
Andover New Street,97:17,2,Kaba,Foul,112,51,0,0,,,,,,,,,,
Andover New Street,97:27,3,Quashie,Air Duel,46,36,0,0,,Lost,,,,,,,,
Andover New Street,97:31,15,.,Long Kick,32,52,84,44,,Incomplete,,,,,,,,
Andover New Street,97:42,8,Williams,Shot,96,36,117,41,Right,Saved,,,,,,,95,75
Andover New Street,97:44,10,Hibberd,Shot,112,53,113,49,Right,Blocked,,,,,,,,
Andover New Street,98:25,7,Locker,Corner,117,78,108,39,,,,,,,,,,
Andover New Street,98:36,7,Locker,Defensive Duel,110,71,0,0,,,,,,,,,,
