Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,07:41,8,Williams,Defensive Duel,40,36,0,0,,,,,,,,,,
Andover New Street,07:49,3,Quashie,Interception,11,26,0,0,,,,,,,,,,
Andover New Street,08:24,1,Fredricks,Goal Kick,6,35,73,13,,Complete,,,,,,,,
Andover New Street,08:37,3,Quashie,Air Duel,26,7,0,0,,Lost,,,,,,,,
Andover New Street,08:39,3,Quashie,Foul,26,9,0,0,,,,,,,,,,
Andover New Street,09:06,4,Carswell,Interception,14,31,0,0,,,,,,,,,,
Andover New Street,09:07,4,Carswell,Head Pass,16,34,38,51,,,,,,true,,,,
Andover New Street,09:14,6,Thatcher,Defensive Duel,16,67,0,0,,,,,,,,,,
Andover New Street,09:17,4,Carswell,Touch,19,50,0,0,,Bad,,,,,,,,
Andover New Street,09:21,4,Carswell,Pass,44,72,59,62,,Complete,,,,,,,,
Andover New Street,09:22,8,Williams,Touch,57,60,0,0,,Bad,,,,,,,,
Andover New Street,09:26,5,Scott,Pass,52,46,56,24,,Complete,,,,,,,,
Andover New Street,09:27,7,Locker,Long Kick,53,27,83,33,,Incomplete,,,,,,,,
Andover New Street,09:33,7,Locker,Offensive Duel,65,25,0,0,,,,,,,,,,
Andover New Street,09:42,5,Scott,Interception,20,31,0,0,,,,,,,,,,
Andover New Street,09:43,5,Scott,Long Kick,18,28,44,19,,Complete,,,,,,,,
Andover New Street,09:45,10,Hibberd,Air Duel,45,23,0,0,,Won,,,,,,,,
Andover New Street,09:47,8,Williams,Offensive Duel,52,25,0,0,,Won,,,,,true,,,
Andover New Street,09:51,8,Williams,Offensive Duel,42,28,0,0,,,,,,,,,,
Andover New Street,10:03,7,Locker,Defensive Duel,34,25,0,0,,,,,,,,,,
Andover New Street,10:52,1,Fredricks,Free Kick,8,33,72,7,,,,,,,,,,
Andover New Street,10:55,9,Moore,Air Duel,73,10,0,0,,Won,,,,,,,,
Andover New Street,11:16,1,Fredricks,Touch,5,33,0,0,,,,,,,,,,
Andover New Street,11:28,1,Fredricks,Long Kick,23,27,94,16,,Complete,,,,,,,,
Andover New Street,11:32,10,Hibberd,Air Duel,95,16,0,0,,Won,,,,,,,,
Andover New Street,11:35,9,Moore,Offensive Duel,113,27,0,0,,Won,,,,,,,,
Andover New Street,11:37,9,Moore,Cross,115,27,114,40,Left,,,,,,,,,
Andover New Street,11:48,2,Kaba,Throw In,24,79,7,60,,Complete,,,,,,,,
Andover New Street,11:53,1,Fredricks,Free Kick,4,55,14,3,,,,,,,,,,
Andover New Street,12:03,3,Quashie,Offensive Duel,12,10,0,0,,,,,,,,,,
Andover New Street,12:04,3,Quashie,Pass,11,9,29,12,,Complete,,,,,,,,
Andover New Street,12:06,7,Locker,Pass,27,10,15,12,,Complete,,,,,,,,
Andover New Street,12:06,3,Quashie,Long Kick,13,10,54,30,,Complete,,,,,,,,
Andover New Street,12:09,8,Williams,Air Duel,53,30,0,0,,Won,,,,,,,,
Andover New Street,12:14,6,Thatcher,Interception,55,26,0,0,,,,,,,,,,
Andover New Street,12:15,6,Thatcher,Long Kick,55,27,103,13,,Complete,,,,,,,,
Andover New Street,12:18,8,Williams,Cross,103,14,105,34,Left,,,,,,,,,
Andover New Street,12:40,3,Quashie,Throw In,91,1,92,14,,Complete,,,,,,,,
Andover New Street,12:41,10,Hibberd,Pass,91,13,97,5,,Complete,,,,,,,,
Andover New Street,12:41,3,Quashie,Pass,92,2,96,18,,Incomplete,,,,,,,,
Andover New Street,12:45,10,Hibberd,Offensive Duel,90,13,0,0,,Lost,,,,,true,,,
Andover New Street,12:52,6,Thatcher,Interception,50,23,0,0,,,,,,,,,,
Andover New Street,12:54,6,Thatcher,Pass,52,22,63,29,,Complete,,,,,,,,
Andover New Street,12:56,10,Hibberd,Offensive Duel,69,31,0,0,,Won,,,,,,,,
Andover New Street,13:01,10,Hibberd,Pass,70,31,63,47,,Complete,,,,,,,,
Andover New Street,13:03,4,Carswell,Long Kick,63,46,78,40,,Incomplete,,,,,,,,
Andover New Street,13:06,4,Carswell,Pass,67,50,80,64,,Complete,,,,,,,,
Andover New Street,13:08,11,Taylor Kelly,Pass,78,67,84,58,,Complete,,,,,,,,
Andover New Street,13:09,8,Williams,Offensive Duel,84,59,0,0,,Won,,,,,,,,
Andover New Street,13:16,10,Hibberd,Cross,103,67,110,33,Right,,,,,,,,,
Andover New Street,13:09,8,Williams,Carry,85,62,107,67,,Complete,,,,,,,,
Andover New Street,13:17,9,Moore,Air Duel,109,37,0,0,,Won,,,,,,,,
