Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Punjab FC,17:55,6,Khuraijam Meetei,Pass,54,39,38,43,,Complete,,,,,,,
Punjab FC,17:57,3,Telem Singh,Long Kick,39,44,97,70,,Complete,,,,,,,
Punjab FC,18:04,11,Thongbam Singh,Offensive Duel,90,70,0,0,,Lost,,,,,,,
Punjab FC,18:08,11,Thongbam Singh,Defensive Duel,90,72,0,0,,Lost,,,,,,,
Punjab FC,18:18,18,Naorem Singh,Throw In,84,76,96,64,,,,,,,,,
Punjab FC,18:21,9,Gunleiba Wangkheirakpam,Offensive Duel,95,60,0,0,,Won,,,,,,,
Punjab FC,18:51,5,Suraj Murmu,Throw In,48,2,29,12,,,,,,,,,
Punjab FC,18:56,4,Shubham Poonia,Pass,40,20,32,34,,Complete,,,,,,,
Punjab FC,18:58,3,Telem Singh,Pass,36,36,51,43,,Complete,,,,,,,
Punjab FC,18:59,8,Samuel Hakoip,Pass,53,41,37,65,,Complete,,,,,,,
Punjab FC,19:04,18,Naorem Singh,Long Kick,33,63,105,70,,Complete,,,,,,,
Punjab FC,19:11,9,Gunleiba Wangkheirakpam,Offensive Duel,112,57,0,0,,Won,,,,,TRUE,,
Punjab FC,20:01,4,Shubham Poonia,Free Kick,11,29,12,29,,,,,,,,,
Punjab FC,20:04,5,Suraj Murmu,Pass,23,20,34,14,,Complete,,,,,,,
Punjab FC,21:04,3,Telem Singh,Pass,21,68,15,75,,,,,,TRUE,,,
Punjab FC,21:32,18,Naorem Singh,Throw In,11,74,14,66,,,,,,,,,
Punjab FC,21:34,3,Telem Singh,Long Kick,13,67,36,69,,Incomplete,,,,,,,
Punjab FC,21:41,6,Khuraijam Meetei,Touch,36,57,0,0,,Bad,,,,,,,
Punjab FC,21:41,6,Khuraijam Meetei,LBD,37,55,0,0,,Lost,,,,,,,
Punjab FC,22:14,4,Shubham Poonia,Goal Kick,7,33,7,33,,,,,,,,,
Punjab FC,22:20,8,Samuel Hakoip,Pass,43,35,41,53,,Complete,,,,,,,
Punjab FC,22:22,6,Khuraijam Meetei,Pass,42,48,48,70,,Complete,,,,,,,
