Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva FC,3:59,20,Eddie Zothanmawia ,Pressure,89,25,0,0,,,,,,,,,
Sudeva FC,4:04,11,Mayengbam Lanchenba Luwang,Interception,62,14,0,0,,,,,,,,,
Sudeva FC,4:07,11,Mayengbam Lanchenba Luwang,Offensive Duel,75,7,0,0,,Lost,,,,,,,
Sudeva FC,4:13,26,Longjam Christson Singh,Defensive Duel,37,15,0,0,,Won,,,,,,,
Sudeva FC,4:50,21,Samir Thapa,Goal Kick,6,48,66,72,,,,,,,,,
Sudeva FC,5:08,4,Moirangthem Manithoiba Meitei,Throw In,86,78,73,68,,,,,,,,,
Sudeva FC,5:09,26,Longjam Christson Singh,Touch,74,69,0,0,,Bad,,,,,,,
Sudeva FC,5:37,21,Samir Thapa,Long Kick,19,39,66,64,,Incomplete,,,,,,,
Sudeva FC,5:48,4,Moirangthem Manithoiba Meitei,Throw In,72,79,74,64,,,,,,,,,
Sudeva FC,5:54,15,Pukar Dulal,Offensive Duel,79,75,0,0,,Won,,,,,,,
Sudeva FC,5:55,15,Pukar Dulal,Offensive Duel,77,71,0,0,,Won,,,,,,,
Sudeva FC,6:10,4,Moirangthem Manithoiba Meitei,Head Pass,35,74,51,74,,Complete,,,,,,,
Sudeva FC,6:14,15,Pukar Dulal,Offensive Duel,56,70,0,0,,Won,,,,,,,
Sudeva FC,6:15,15,Pukar Dulal,Offensive Duel,52,65,0,0,,Won,,,,,,,
Sudeva FC,6:16,15,Pukar Dulal,Pass,52,69,37,75,,Complete,,,,,,,
Sudeva FC,6:17,4,Moirangthem Manithoiba Meitei,Pass,32,76,54,56,,Incomplete,,,,,,,
Sudeva FC,6:20,11,Mayengbam Lanchenba Luwang,Defensive Duel,47,55,0,0,,Lost,,,,,,,
Sudeva FC,6:33,11,Mayengbam Lanchenba Luwang,Defensive Duel,38,18,0,0,,Lost,,,,,True,,
Sudeva FC,6:36,25,Leishangthem Donaroy Singh,Pass,18,34,64,53,,,,,,True,,,
Sudeva FC,6:45,4,Moirangthem Manithoiba Meitei,Interception,28,65,0,0,,,,,,,,,
Sudeva FC,6:57,6,Irfan Ahmad Mir,Long Kick,17,33,42,42,,,,,,True,,,
Sudeva FC,7:05,20,Eddie Zothanmawia ,Defensive Duel,53,26,0,0,,Lost,,,,,True,,
Sudeva FC,7:13,11,Mayengbam Lanchenba Luwang,Pass,24,22,41,28,,Complete,,,,,,,
Sudeva FC,7:13,20,Eddie Zothanmawia ,Touch,37,28,0,0,,Bad,,,,,,,
Sudeva FC,7:19,7,Oinam Nirmal Meitei,Pass,30,57,56,41,,Incomplete,,,,,,,
Sudeva FC,7:54,4,Moirangthem Manithoiba Meitei,Head Pass,23,62,30,61,,Incomplete,,,,,,,
Sudeva FC,7:57,15,Pukar Dulal,Pass,29,59,40,40,,Complete,,,,,,,
Sudeva FC,8:00,20,Eddie Zothanmawia ,Offensive Duel,37,42,0,0,,Won,,,,,True,,
Sudeva FC,8:02,20,Eddie Zothanmawia ,Long Kick,46,43,101,48,,Incomplete,,,True,,,,
Sudeva FC,8:23,6,Irfan Ahmad Mir,Throw In,61,1,46,10,,,,,,,,,
Sudeva FC,8:27,25,Leishangthem Donaroy Singh,Long Kick,43,13,91,68,,Complete,,,,,,,
Sudeva FC,8:33,7,Oinam Nirmal Meitei,Offensive Duel,100,67,0,0,,Lost,,,,,True,,
