Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva,32:25:00,7,Oinam Nirmal Meitei,Pressure,107,57,0,0,,,,,,,,,
Sudeva,32:40:00,25,Leishangthem Donaroy Singh,Pass,16,50,44,67,,,,,,TRUE,,,
Sudeva,32:47:00,6,Irfan Ahmad Mir,Long Kick,18,28,48,38,,,,,,TRUE,,,
Sudeva,33:32:00,25,Leishangthem Donaroy Singh,Defensive Duel,12,65,0,0,,Lost,,,,,,,
Sudeva,34:17:00,6,Irfan Ahmad Mir,Long Kick,7,16,72,31,,,,,,TRUE,,,
Sudeva,34:41:00,6,Irfan Ahmad Mir,Pass,23,7,22,4,,,,,,TRUE,,,
Sudeva,34:46:00,6,Irfan Ahmad Mir,Defensive Duel,17,10,0,0,,Lost,,,,,TRUE,,
Sudeva,34:47:00,11,Mayengbam Lanchenba Luwang,Interception,14,14,0,0,,,,,,,,,
Sudeva,35:30:00,21,Samir Thapa,Goal Kick,7,46,15,24,,,,,,,,,
Sudeva,35:32:00,25,Leishangthem Donaroy Singh,Pass,13,25,25,25,,Complete,,,,,,,
Sudeva,35:34:00,11,Mayengbam Lanchenba Luwang,Pass,28,28,10,16,,Complete,,,,,,,
Sudeva,35:36:00,25,Leishangthem Donaroy Singh,Pass,8,18,22,3,,Complete,,,,,,,
Sudeva,35:38:00,6,Irfan Ahmad Mir,Pass,22,3,23,13,,Complete,,,,,,,
Sudeva,35:38:00,11,Mayengbam Lanchenba Luwang,Pass,26,13,12,7,,Complete,,,,,,,
Sudeva,35:40:00,25,Leishangthem Donaroy Singh,Long Kick,8,13,42,4,,Incomplete,,,,,,,
Sudeva,35:43:00,12,R Aarya Krishna,LBD,39,7,0,0,,Lost,,,,,,,
Sudeva,35:52:00,6,Irfan Ahmad Mir,Throw In,36,1,54,8,,,,,,,,,
Sudeva,35:55:00,12,R Aarya Krishna,Pass,51,7,51,14,,Complete,,,,,,,
Sudeva,36:00:00,12,R Aarya Krishna,Pass,55,3,71,12,,Complete,,,,,,,
Sudeva,36:00:00,20,Eddie Zothanmawia ,Pass,67,11,82,5,,Complete,,,,,,,
Sudeva,36:02:00,12,R Aarya Krishna,Offensive Duel,83,4,0,0,,Lost,,,,,TRUE,,
Sudeva,36:05:00,11,Mayengbam Lanchenba Luwang,Offensive Duel,72,4,0,0,,Lost,,,,,,,
Sudeva,36:52:00,6,Irfan Ahmad Mir,Free Kick,68,6,118,41,,,,,,,,,
Sudeva,37:10:00,2,Sagar Patra,Defensive Duel,44,67,0,0,,Lost,,,,,,,
Sudeva,37:12:00,25,Leishangthem Donaroy Singh,Pass,29,55,50,54,,Complete,,,,,,,
Sudeva,37:25:00,11,Mayengbam Lanchenba Luwang,Defensive Duel,28,24,0,0,,Lost,,,,,TRUE,,
Sudeva,37:29:00,2,Sagar Patra,Interception,17,42,0,0,,,,,,,,,
Sudeva,37:47:00,21,Samir Thapa,Goal Kick,8,44,8,59,,,,,,,,,
Sudeva,37:48:00,2,Sagar Patra,Pass,12,58,23,73,,Complete,,,,,,,
Sudeva,37:51:00,4,Moirangthem Manithoiba Meitei,Offensive Duel,28,69,0,0,,Lost,,,,,TRUE,,
Sudeva,37:52:00,2,Sagar Patra,Long Kick,26,58,72,75,,Incomplete,,,,,,,
Sudeva,38:33:00,4,Moirangthem Manithoiba Meitei,Throw In,71,78,78,69,,,,,,,,,
Sudeva,38:34:00,15,Pukar Dulal,Offensive Duel,78,68,0,0,,Won,,,,,,,
Sudeva,38:36:00,15,Pukar Dulal,Offensive Duel,76,67,0,0,,Lost,,,,,,,
Sudeva,39:01:00,2,Sagar Patra,Defensive Duel,28,57,0,0,,Lost,,,,,TRUE,,
Sudeva,39:17:00,21,Samir Thapa,Goal Kick,7,37,10,21,,,,,,,,,
Sudeva,39:19:00,25,Leishangthem Donaroy Singh,Pass,9,23,25,28,,Complete,,,,,,,
Sudeva,39:20:00,11,Mayengbam Lanchenba Luwang,Pass,24,28,34,20,,Incomplete,,,,,,,
Sudeva,39:40:00,21,Samir Thapa,Goal Kick,7,32,63,30,,,,,,,,,
Sudeva,39:46:00,2,Sagar Patra,Air Duel,37,54,0,0,,Won,,,,,,,
Sudeva,39:58:00,2,Sagar Patra,Long Kick,34,55,67,75,,Complete,,,,,,,
Sudeva,40:01:00,7,Oinam Nirmal Meitei,Pass,63,69,50,73,,Complete,,,,,,,
Sudeva,40:02:00,4,Moirangthem Manithoiba Meitei,Long Kick,46,74,84,71,,Complete,,,,,,,
Sudeva,40:04:00,15,Pukar Dulal,Offensive Duel,84,69,0,0,,Won,,,,,,,
Sudeva,40:07:00,15,Pukar Dulal,Pass,78,68,63,58,,Complete,,,,,,,
Sudeva,40:10:00,26,Longjam Christson Singh,Offensive Duel,61,56,0,0,,Lost,,,,,TRUE,,
Sudeva,41:06:00,11,Mayengbam Lanchenba Luwang,Defensive Duel,41,23,0,0,,Lost,,,,,,,
Sudeva,41:07:00,15,Pukar Dulal,Defensive Duel,52,26,0,0,,Lost,,,,,,,
Sudeva,41:08:00,26,Longjam Christson Singh,Pass,46,40,62,13,,Complete,,,,,,,
