Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva Delhi FC,11:41,21,Macdonnish Ngairangbam ,Goal Kick,19,41,73,10,,,,,,,,,
Sudeva Delhi FC,11:47,21,Macdonnish Ngairangbam ,Save,5,39,0,0,Left,Saved,,,,,,,
Sudeva Delhi FC,11:48,21,Macdonnish Ngairangbam ,Hand Pass,13,32,58,77,,Complete,,,,,,,
Sudeva Delhi FC,11:50,11,Langam Ratip Meitei,Head Pass,51,74,75,31,,Incomplete,,,,,,,
Sudeva Delhi FC,11:55,24,Debasish Borgohain ,Air Duel,75,25,0,0,,Lost,,,,,,,
Sudeva Delhi FC,11:57,16,Dikshit Rai ,Defensive Duel,41,25,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,12:16,21,Macdonnish Ngairangbam ,Goal Kick,13,42,92,28,,,,,,,,,
Sudeva Delhi FC,12:25,17,Heikham Lineker Singh,Pass,10,11,11,0,,,,,,true,,,
Sudeva Delhi FC,13:10,26,Loushambam Nara Meitei,Air Duel,9,38,0,0,,Lost,,,,,,,
Sudeva Delhi FC,13:12,21,Macdonnish Ngairangbam ,Save,4,41,0,0,Right,Goal,,,,,,,Bottom left
Sudeva Delhi FC,13:29,24,Debasish Borgohain ,Pass,59,39,46,34,,Complete,,,,,,,
Sudeva Delhi FC,13:30,17,Heikham Lineker Singh,Shot,48,38,119,39,Right,Off Target,,,,,,,
Sudeva Delhi FC,13:47,9,Asem Rahulkumar Singh,Defensive Duel,110,21,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,13:56,11,Langam Ratip Meitei,Interception,35,74,0,0,,,,,,,,,
Sudeva Delhi FC,14:13,16,Dikshit Rai ,Air Duel,11,38,0,0,,Won,,,,,,,
Sudeva Delhi FC,14:16,17,Heikham Lineker Singh,Interception,12,29,0,0,,,,,,,,,
Sudeva Delhi FC,14:17,26,Loushambam Nara Meitei,Pass,7,42,27,41,,,,,,true,,,
Sudeva Delhi FC,14:18,11,Langam Ratip Meitei,Interception,12,45,0,0,,,,,,,,,
Sudeva Delhi FC,14:37,11,Langam Ratip Meitei,Pass,9,48,35,49,,Incomplete,,,,,,,
Sudeva Delhi FC,14:42,24,Debasish Borgohain ,Offensive Duel,38,37,0,0,,Won,,,,,,,
Sudeva Delhi FC,14:45,24,Debasish Borgohain ,Pass,56,45,58,60,,Complete,,,,,,,
Sudeva Delhi FC,14:47,11,Langam Ratip Meitei,Pass,69,69,71,60,,Incomplete,,,,,,,
