Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minverva Academy FC,85:59,3,Moosa Ashiq,Head Pass,22,39,40,44,,Complete,,,,,,,
Minverva Academy FC,86:01,50,Thangkhanlam Samte,Head Pass,36,42,64,53,,Complete,,,,,,,
Minverva Academy FC,86:04,14,Malsom Tuboi,Touch,62,53,0,0,,Bad,,,,,,,
Minverva Academy FC,86:07,14,Malsom Tuboi,Carry,72,52,88,43,,,,,,,,,
Minverva Academy FC,86:10,14,Malsom Tuboi,Pass,85,40,97,29,,Complete,,,,,,,
Minverva Academy FC,86:14,7,Lairenjam Sanathoi Meitei,Pass,98,28,97,53,,Complete,,,,,,,
Minverva Academy FC,86:17,8,Ahvas K,Offensive Duel,98,54,0,0,,Won,,,,,true,,
Minverva Academy FC,86:18,8,Ahvas K,Shot,108,52,117,40,Right,Saved,,,,,,,
Minverva Academy FC,86:29,7,Lairenjam Sanathoi Meitei,Corner,116,2,91,6,,,,,,,,,
Minverva Academy FC,86:32,5,Rokash Atom,Pass,90,4,110,7,,Complete,,,,,,,
Minverva Academy FC,86:35,7,Lairenjam Sanathoi Meitei,Cross,111,7,103,60,Left,,,,,,,,
Minverva Academy FC,86:41,19,Jayed,Offensive Duel,109,55,0,0,,Won,,,,,true,,
Minverva Academy FC,87:06,2,Ngashepam Reoson Singh,Pass,80,75,66,61,,Complete,,,,,,,
Minverva Academy FC,87:09,50,Thangkhanlam Samte,Pass,66,67,82,52,,Complete,,,,,,,
Minverva Academy FC,87:13,14,Malsom Tuboi,Offensive Duel,83,50,0,0,,Won,,,,,,,
Minverva Academy FC,88:18,8,Ahvas K,Defensive Duel,70,68,0,0,,Lost,,,,,true,,
Minverva Academy FC,88:22,2,Ngashepam Reoson Singh,Defensive Duel,44,57,0,0,,Won,,,,,,,
Minverva Academy FC,88:30,7,Lairenjam Sanathoi Meitei,Defensive Duel,79,29,0,0,,Lost,,,,,true,,
Minverva Academy FC,88:36,7,Lairenjam Sanathoi Meitei,Defensive Duel,67,12,0,0,,Lost,,,,,,,
Minverva Academy FC,88:40,50,Thangkhanlam Samte,Defensive Duel,68,20,0,0,,Won,,,,,,,
Minverva Academy FC,88:47,7,Lairenjam Sanathoi Meitei,Defensive Duel,65,19,0,0,,Lost,,,,,,,
Minverva Academy FC,88:55,7,Lairenjam Sanathoi Meitei,Foul,65,18,0,0,,,,,,,,,
Minverva Academy FC,89:00,4,Sailex Oinam ,Pass,30,57,8,79,,,,,,true,,,
Minverva Academy FC,89:13,8,Ahvas K,Pass,10,71,19,64,,Complete,,,,,,,
Minverva Academy FC,89:14,2,Ngashepam Reoson Singh,Touch,16,68,0,0,,Bad,,,,,,,
Minverva Academy FC,89:16,19,Jayed,Pass,21,70,28,58,,Complete,,,,,,,
Minverva Academy FC,89:17,50,Thangkhanlam Samte,Carry,27,56,45,50,,,,,,,,,
Minverva Academy FC,89:21,50,Thangkhanlam Samte,Long Kick,41,54,101,30,,Incomplete,,,true,,,,
Minverva Academy FC,89:31,5,Rokash Atom,Pass,51,25,62,34,,Incomplete,,,,,,,
Minverva Academy FC,90:48,4,Sailex Oinam ,Free Kick,24,69,77,58,,,,,,,,,
Minverva Academy FC,90:55,19,Jayed,Long Kick,69,63,94,22,,Incomplete,,,,,,,
Minverva Academy FC,91:03,7,Lairenjam Sanathoi Meitei,Pressure,93,32,0,0,,,,,,,,,
Minverva Academy FC,91:13,7,Lairenjam Sanathoi Meitei,Pass,71,22,63,15,,Complete,,,,,,,
Minverva Academy FC,91:14,5,Rokash Atom,LBD,65,14,0,0,,Lost,,,,,,,
Minverva Academy FC,91:24,5,Rokash Atom,Defensive Duel,29,5,0,0,,Lost,,,,,,,
Minverva Academy FC,91:40,50,Thangkhanlam Samte,Long Kick,35,21,79,11,,Complete,,,,,,,
Minverva Academy FC,91:44,14,Malsom Tuboi,Carry,78,11,103,26,,,,,,,,,
Minverva Academy FC,92:01,8,Ahvas K,Offensive Duel,94,58,0,0,,Won,,,,,,,
Minverva Academy FC,92:03,8,Ahvas K,Pass,94,59,83,68,,Complete,,,,,,,
Minverva Academy FC,92:05,2,Ngashepam Reoson Singh,Pass,85,65,83,54,,Complete,,,,,,,
Minverva Academy FC,92:10,50,Thangkhanlam Samte,Pass,91,60,88,75,,Complete,,,,,,,
Minverva Academy FC,92:12,2,Ngashepam Reoson Singh,Pass,90,72,65,64,,Complete,,,,,,,
Minverva Academy FC,92:14,4,Sailex Oinam ,Pass,70,68,80,58,,Complete,,,,,,,
Minverva Academy FC,92:16,50,Thangkhanlam Samte,Pass,79,61,57,33,,Complete,,,,,,,
Minverva Academy FC,92:21,3,Moosa Ashiq,Pass,65,26,71,10,,Complete,,,,,,,
Minverva Academy FC,92:24,5,Rokash Atom,Pass,72,8,92,20,,Complete,,,,,,,
Minverva Academy FC,92:25,14,Malsom Tuboi,Pass,90,20,85,22,,Incomplete,,,,,,,
Minverva Academy FC,92:30,50,Thangkhanlam Samte,Defensive Duel,72,22,0,0,,Won,,,,,,,
Minverva Academy FC,92:32,50,Thangkhanlam Samte,Foul,70,22,0,0,,,,,,,,,
Minverva Academy FC,92:59,4,Sailex Oinam ,Air Duel,30,51,0,0,,Won,,,,,,,
Minverva Academy FC,93:06,3,Moosa Ashiq,Head Pass,24,26,41,23,,Complete,,,,,,,
Minverva Academy FC,93:08,22,Paoginmang Baite,Long Kick,39,24,78,1,,Incomplete,,,,,,,
Minverva Academy FC,93:28,7,Lairenjam Sanathoi Meitei,Offensive Duel,70,10,0,0,,Won,,,,,true,,
Minverva Academy FC,93:55,5,Rokash Atom,Throw In,56,1,77,6,,,,,,,,,
Minverva Academy FC,93:56,7,Lairenjam Sanathoi Meitei,Touch,75,7,0,0,,Bad,,,,,,,
Minverva Academy FC,94:00,50,Thangkhanlam Samte,Pass,74,19,90,24,,Complete,,,,,,,
Minverva Academy FC,94:02,14,Malsom Tuboi,Shot,91,31,118,46,Right,Off Target,,,,,,,
Minverva Academy FC,94:12,14,Malsom Tuboi,Pressure,106,53,0,0,,,,,,,,,
Minverva Academy FC,94:17,4,Sailex Oinam ,Pass,55,55,77,57,,Complete,,,,,,,
Minverva Academy FC,94:20,2,Ngashepam Reoson Singh,Pass,76,57,87,57,,Complete,,,,,,,
Minverva Academy FC,94:21,14,Malsom Tuboi,Touch,88,56,0,0,,Bad,,,,,,,
Minverva Academy FC,94:29,14,Malsom Tuboi,Defensive Duel,80,68,0,0,,Lost,,,,,,,
Minverva Academy FC,94:31,8,Ahvas K,Pass,79,69,81,59,,Complete,,,,,,,
Minverva Academy FC,94:32,19,Jayed,Offensive Duel,83,57,0,0,,Won,,,,,true,,
Minverva Academy FC,95:11,14,Malsom Tuboi,,,,0,0,,,,,,,,,
Minverva Academy FC,95:10,14,Malsom Tuboi,Free Kick,86,60,118,29,,,,,,,,,
Minverva Academy FC,95:35,1,Khwairakpam Yoihenba,Carry,28,25,5,23,,,,,,,,,
Minverva Academy FC,95:53,1,Khwairakpam Yoihenba,Hand Pass,3,31,4,19,,Complete,,,,,,,
Minverva Academy FC,95:56,3,Moosa Ashiq,Pass,6,20,39,21,,Complete,,,,,,,
Minverva Academy FC,96:00,22,Paoginmang Baite,Offensive Duel,51,20,0,0,,Won,,,,,,,
Minverva Academy FC,96:02,22,Paoginmang Baite,Pass,65,23,98,5,,Complete,,,,,,,
Minverva Academy FC,96:05,7,Lairenjam Sanathoi Meitei,Carry,95,3,110,28,,,,,,,,,
Minverva Academy FC,96:08,7,Lairenjam Sanathoi Meitei,Shot,109,28,117,37,Right,Saved,,,,,,,
Minverva Academy FC,96:10,8,Ahvas K,Shot,110,44,119,40,Header,Saved,,,,,,,Middle
Minverva Academy FC,97:00,4,Sailex Oinam ,Free Kick,33,69,53,68,,,,,,,,,
Minverva Academy FC,97:02,19,Jayed,Pass,55,71,55,56,,Complete,,,,,,,
Minverva Academy FC,97:05,2,Ngashepam Reoson Singh,Pass,67,63,80,72,,Complete,,,,,,,
Minverva Academy FC,97:07,14,Malsom Tuboi,Pass,77,69,102,72,,Complete,,,,,,,
Minverva Academy FC,97:09,8,Ahvas K,Offensive Duel,102,72,0,0,,Won,,,,,true,,
Minverva Academy FC,97:12,8,Ahvas K,Offensive Duel,97,65,0,0,,Won,,,,,true,,
Minverva Academy FC,97:16,50,Thangkhanlam Samte,Head Pass,67,51,71,60,,Complete,,,,,,,
Minverva Academy FC,97:20,4,Sailex Oinam ,Pass,54,49,53,30,,Complete,,,,,,,
Minverva Academy FC,97:17,19,Jayed,Pass,65,54,46,52,,Complete,,,,,,,
Minverva Academy FC,97:23,3,Moosa Ashiq,Pass,48,25,76,24,,Complete,,,,,,,
Minverva Academy FC,97:24,22,Paoginmang Baite,Pass,73,27,68,7,,Complete,,,,,,,
Minverva Academy FC,97:28,5,Rokash Atom,Pass,68,5,86,3,,Complete,,,,,,,
Minverva Academy FC,97:32,7,Lairenjam Sanathoi Meitei,Pass,84,3,85,15,,Complete,,,,,,,
Minverva Academy FC,97:40,22,Paoginmang Baite,Pass,80,20,91,7,,Complete,,,,,,,
Minverva Academy FC,97:48,7,Lairenjam Sanathoi Meitei,Pass,90,8,81,30,,Complete,,,,,,,
Minverva Academy FC,97:51,50,Thangkhanlam Samte,Pass,80,32,89,53,,Complete,,,,,,,
Minverva Academy FC,97:55,19,Jayed,Offensive Duel,96,56,0,0,,Won,,,,,true,,
Minverva Academy FC,97:57,19,Jayed,Offensive Duel,101,53,0,0,,Won,,,,,true,,
Minverva Academy FC,97:58,19,Jayed,Pass,101,47,97,36,,Complete,,,,,,,
Minverva Academy FC,98:00,22,Paoginmang Baite,Shot,97,36,118,43,Left,Off Target,,,,,,,post
Minverva Academy FC,98:05,50,Thangkhanlam Samte,Head Pass,89,53,106,70,,Complete,,,,,,,
Minverva Academy FC,98:09,8,Ahvas K,Offensive Duel,106,76,0,0,,Won,,,,,true,,
Minverva Academy FC,98:13,8,Ahvas K,Pass,114,72,104,59,,Complete,,,,,,,
Minverva Academy FC,98:16,50,Thangkhanlam Samte,Cross,111,60,110,39,Right,,true,,,,,,
Minverva Academy FC,98:16,14,Malsom Tuboi,Shot,108,43,118,32,Header,Off Target,,,,,,,
Minverva Academy FC,99:40,8,Ahvas K,Defensive Duel,110,55,0,0,,Won,,,,,,,
Minverva Academy FC,99:42,8,Ahvas K,Offensive Duel,114,52,0,0,,Won,,,,,true,,
Minverva Academy FC,99:57,8,Ahvas K,Pressure,94,69,0,0,,,,,,,,,
Minverva Academy FC,100:01,4,Sailex Oinam ,Air Duel,44,67,0,0,,Won,,,,,,,
Minverva Academy FC,100:04,19,Jayed,Offensive Duel,72,56,0,0,,Won,,,,,true,,
Minverva Academy FC,100:07,19,Jayed,Pass,65,44,67,27,,Complete,,,,,,,
Minverva Academy FC,100:09,22,Paoginmang Baite,Offensive Duel,67,27,0,0,,Won,,,,,,,
Minverva Academy FC,100:10,22,Paoginmang Baite,Pass,64,28,47,21,,Complete,,,,,,,
Minverva Academy FC,100:13,3,Moosa Ashiq,Long Kick,48,25,65,41,,Complete,,,,,,,
Minverva Academy FC,100:19,19,Jayed,LBD,83,31,0,0,,Won,,,,,,,
Minverva Academy FC,101:42,14,Malsom Tuboi,Free Kick,84,33,119,37,,,,,,,,,
